seed,tol,policy,initial_belief,final_error,tail_error_mean,tail_coverage_mean,reference_rejected_total
6,0.11,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.11,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,0.25,gated,0.32766902931658204,0.672330970683418,0.672330970683418,0.5,80
6,0.25,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,0.25,reference_only,0.32766902931658204,0.0,0.0,0.5,0
6,1.0,gated,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,1.0,accept_all,0.32766902931658204,0.0,0.2353158397391963,1.0,0
6,1.0,reference_only,0.32766902931658204,0.0,0.0,0.5,0
7,0.0,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.0,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.0,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,0.01,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.01,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.01,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,0.024,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.024,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.024,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,0.026,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.026,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.026,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,0.05,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.05,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.05,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,0.11,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.11,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.11,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,0.25,gated,0.16334146769160685,0.8366585323083932,0.8366585323083932,0.5,80
7,0.25,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,0.25,reference_only,0.16334146769160685,0.0,0.0,0.5,0
7,1.0,gated,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,1.0,accept_all,0.16334146769160685,0.0,0.2509975596925179,1.0,0
7,1.0,reference_only,0.16334146769160685,0.0,0.0,0.5,0
8,0.0,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.0,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.0,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,0.01,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.01,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.01,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,0.024,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.024,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.024,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,0.026,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.026,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.026,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,0.05,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.05,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.05,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,0.11,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.11,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.11,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,0.25,gated,0.1293470507833671,0.8706529492166328,0.8706529492166328,0.5,80
8,0.25,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,0.25,reference_only,0.1293470507833671,0.0,0.0,0.5,0
8,1.0,gated,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,1.0,accept_all,0.1293470507833671,0.8706529492166328,0.4353264746083164,1.0,0
8,1.0,reference_only,0.1293470507833671,0.0,0.0,0.5,0
9,0.0,gated,0.2120525752352575,0.7879474247647424,0.7879474247647424,0.5,80
9,0.0,accept_all,0.2120525752352575,0.0,0.5515631973353197,1.0,0
9,0.0,reference_only,0.2120525752352575,0.0,0.0,0.5,0
9,0.01,gated,0.2120525752352575,0.7879474247647424,0.7879474247647424,0.5,80
9,0.01,accept_all,0.2120525752352575,0.0,0.5515631973353197,1.0,0
9,0.01,reference_only,0.2120525752352575,0.0,0.0,0.5,0
9,0.024,gated,0.2120525752352575,0.7879474247647424,0.7879474247647424,0.5,80
9,0.024,accept_all,0.2120525752352575,0.0,0.5515631973353197,1.0,0
9,0.024,reference_only,0.2120525752352575,0.0,0.0,0.5,0
9,0.026,gated,0.2120525752352575,0.7879474247647424,0.7879474247647424,0.5,80
9,0.026,accept_all,0.2120525752352575,0.0,0.5515631973353197,1.0,0
9,0.026,reference_only,0.2120525752352575,0.0,0.0,0.5,0
9,0.05,gated,0.2120525752352575,0.7879474247647424,0.7879474247647424,0.5,80
