run_id,family,q_nominal,drift_v,q_actual,classification,D_min,D_final,relapse_start_step,relapse_confirmation_step,time_to_relapse,recapture_latency,recapture_slope_net,recapture_slope_active,corrective_before_failure,contradictory_before_failure,corrective_accepted_before_failure,contradictory_accepted_before_failure
gradual_drift_q0.25_v0.01_orderNone_seed7,gradual_drift,0.25,0.01,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.25_v0.01_orderNone_seed17,gradual_drift,0.25,0.01,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.25_v0.01_orderNone_seed29,gradual_drift,0.25,0.01,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.25_v0.01_orderNone_seed41,gradual_drift,0.25,0.01,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.25_v0.01_orderNone_seed53,gradual_drift,0.25,0.01,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.5_v0.01_orderNone_seed7,gradual_drift,0.5,0.01,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.5_v0.01_orderNone_seed17,gradual_drift,0.5,0.01,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.5_v0.01_orderNone_seed29,gradual_drift,0.5,0.01,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.5_v0.01_orderNone_seed41,gradual_drift,0.5,0.01,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
gradual_drift_q0.5_v0.01_orderNone_seed53,gradual_drift,0.5,0.01,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
