graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n40_tol0.051,34,35,0.85,0.875,0.025000000000000022,0.051
uniform_n40_tol0.051,34,36,0.85,0.9,0.050000000000000044,0.051
uniform_n40_tol0.051,35,36,0.875,0.9,0.025000000000000022,0.051
uniform_n40_tol0.051,35,37,0.875,0.925,0.050000000000000044,0.051
uniform_n40_tol0.051,36,37,0.9,0.925,0.025000000000000022,0.051
uniform_n40_tol0.051,36,38,0.9,0.95,0.04999999999999993,0.051
uniform_n40_tol0.051,37,38,0.925,0.95,0.02499999999999991,0.051
uniform_n40_tol0.051,37,39,0.925,0.975,0.04999999999999993,0.051
uniform_n40_tol0.051,38,39,0.95,0.975,0.025000000000000022,0.051
uniform_n40_tol0.051,38,40,0.95,1.0,0.050000000000000044,0.051
uniform_n40_tol0.051,39,40,0.975,1.0,0.025000000000000022,0.051
uniform_n80_tol0.049,0,1,0.0,0.0125,0.0125,0.049
uniform_n80_tol0.049,0,2,0.0,0.025,0.025,0.049
uniform_n80_tol0.049,0,3,0.0,0.0375,0.0375,0.049
uniform_n80_tol0.049,1,2,0.0125,0.025,0.0125,0.049
uniform_n80_tol0.049,1,3,0.0125,0.0375,0.024999999999999998,0.049
uniform_n80_tol0.049,1,4,0.0125,0.05,0.037500000000000006,0.049
uniform_n80_tol0.049,2,3,0.025,0.0375,0.012499999999999997,0.049
uniform_n80_tol0.049,2,4,0.025,0.05,0.025,0.049
uniform_n80_tol0.049,2,5,0.025,0.0625,0.0375,0.049
uniform_n80_tol0.049,3,4,0.0375,0.05,0.012500000000000004,0.049
uniform_n80_tol0.049,3,5,0.0375,0.0625,0.025,0.049
uniform_n80_tol0.049,3,6,0.0375,0.075,0.0375,0.049
uniform_n80_tol0.049,4,5,0.05,0.0625,0.012499999999999997,0.049
uniform_n80_tol0.049,4,6,0.05,0.075,0.024999999999999994,0.049
uniform_n80_tol0.049,4,7,0.05,0.0875,0.03749999999999999,0.049
uniform_n80_tol0.049,5,6,0.0625,0.075,0.012499999999999997,0.049
uniform_n80_tol0.049,5,7,0.0625,0.0875,0.024999999999999994,0.049
uniform_n80_tol0.049,5,8,0.0625,0.1,0.037500000000000006,0.049
uniform_n80_tol0.049,6,7,0.075,0.0875,0.012499999999999997,0.049
uniform_n80_tol0.049,6,8,0.075,0.1,0.02500000000000001,0.049
uniform_n80_tol0.049,6,9,0.075,0.1125,0.037500000000000006,0.049
uniform_n80_tol0.049,7,8,0.0875,0.1,0.012500000000000011,0.049
uniform_n80_tol0.049,7,9,0.0875,0.1125,0.02500000000000001,0.049
uniform_n80_tol0.049,7,10,0.0875,0.125,0.037500000000000006,0.049
uniform_n80_tol0.049,8,9,0.1,0.1125,0.012499999999999997,0.049
uniform_n80_tol0.049,8,10,0.1,0.125,0.024999999999999994,0.049
uniform_n80_tol0.049,8,11,0.1,0.1375,0.037500000000000006,0.049
uniform_n80_tol0.049,9,10,0.1125,0.125,0.012499999999999997,0.049
uniform_n80_tol0.049,9,11,0.1125,0.1375,0.02500000000000001,0.049
uniform_n80_tol0.049,9,12,0.1125,0.15,0.03749999999999999,0.049
uniform_n80_tol0.049,10,11,0.125,0.1375,0.012500000000000011,0.049
uniform_n80_tol0.049,10,12,0.125,0.15,0.024999999999999994,0.049
uniform_n80_tol0.049,10,13,0.125,0.1625,0.037500000000000006,0.049
uniform_n80_tol0.049,11,12,0.1375,0.15,0.012499999999999983,0.049
uniform_n80_tol0.049,11,13,0.1375,0.1625,0.024999999999999994,0.049
uniform_n80_tol0.049,11,14,0.1375,0.175,0.03749999999999998,0.049
uniform_n80_tol0.049,12,13,0.15,0.1625,0.012500000000000011,0.049
uniform_n80_tol0.049,12,14,0.15,0.175,0.024999999999999994,0.049
uniform_n80_tol0.049,12,15,0.15,0.1875,0.037500000000000006,0.049
uniform_n80_tol0.049,13,14,0.1625,0.175,0.012499999999999983,0.049
uniform_n80_tol0.049,13,15,0.1625,0.1875,0.024999999999999994,0.049
uniform_n80_tol0.049,13,16,0.1625,0.2,0.037500000000000006,0.049
uniform_n80_tol0.049,14,15,0.175,0.1875,0.012500000000000011,0.049
uniform_n80_tol0.049,14,16,0.175,0.2,0.025000000000000022,0.049
uniform_n80_tol0.049,14,17,0.175,0.2125,0.037500000000000006,0.049
uniform_n80_tol0.049,15,16,0.1875,0.2,0.012500000000000011,0.049
uniform_n80_tol0.049,15,17,0.1875,0.2125,0.024999999999999994,0.049
uniform_n80_tol0.049,15,18,0.1875,0.225,0.037500000000000006,0.049
uniform_n80_tol0.049,16,17,0.2,0.2125,0.012499999999999983,0.049
uniform_n80_tol0.049,16,18,0.2,0.225,0.024999999999999994,0.049
uniform_n80_tol0.049,16,19,0.2,0.2375,0.03749999999999998,0.049
uniform_n80_tol0.049,17,18,0.2125,0.225,0.012500000000000011,0.049
uniform_n80_tol0.049,17,19,0.2125,0.2375,0.024999999999999994,0.049
uniform_n80_tol0.049,17,20,0.2125,0.25,0.037500000000000006,0.049
uniform_n80_tol0.049,18,19,0.225,0.2375,0.012499999999999983,0.049
uniform_n80_tol0.049,18,20,0.225,0.25,0.024999999999999994,0.049
uniform_n80_tol0.049,18,21,0.225,0.2625,0.037500000000000006,0.049
uniform_n80_tol0.049,19,20,0.2375,0.25,0.012500000000000011,0.049
uniform_n80_tol0.049,19,21,0.2375,0.2625,0.025000000000000022,0.049
uniform_n80_tol0.049,19,22,0.2375,0.275,0.03750000000000003,0.049
uniform_n80_tol0.049,20,21,0.25,0.2625,0.012500000000000011,0.049
uniform_n80_tol0.049,20,22,0.25,0.275,0.025000000000000022,0.049
uniform_n80_tol0.049,20,23,0.25,0.2875,0.03749999999999998,0.049
uniform_n80_tol0.049,21,22,0.2625,0.275,0.012500000000000011,0.049
uniform_n80_tol0.049,21,23,0.2625,0.2875,0.024999999999999967,0.049
uniform_n80_tol0.049,21,24,0.2625,0.3,0.03749999999999998,0.049
uniform_n80_tol0.049,22,23,0.275,0.2875,0.012499999999999956,0.049
uniform_n80_tol0.049,22,24,0.275,0.3,0.024999999999999967,0.049
uniform_n80_tol0.049,22,25,0.275,0.3125,0.03749999999999998,0.049
uniform_n80_tol0.049,23,24,0.2875,0.3,0.012500000000000011,0.049
uniform_n80_tol0.049,23,25,0.2875,0.3125,0.025000000000000022,0.049
uniform_n80_tol0.049,23,26,0.2875,0.325,0.03750000000000003,0.049
uniform_n80_tol0.049,24,25,0.3,0.3125,0.012500000000000011,0.049
uniform_n80_tol0.049,24,26,0.3,0.325,0.025000000000000022,0.049
uniform_n80_tol0.049,24,27,0.3,0.3375,0.03750000000000003,0.049
uniform_n80_tol0.049,25,26,0.3125,0.325,0.012500000000000011,0.049
uniform_n80_tol0.049,25,27,0.3125,0.3375,0.025000000000000022,0.049
uniform_n80_tol0.049,25,28,0.3125,0.35,0.03749999999999998,0.049
uniform_n80_tol0.049,26,27,0.325,0.3375,0.012500000000000011,0.049
uniform_n80_tol0.049,26,28,0.325,0.35,0.024999999999999967,0.049
uniform_n80_tol0.049,26,29,0.325,0.3625,0.03749999999999998,0.049
uniform_n80_tol0.049,27,28,0.3375,0.35,0.012499999999999956,0.049
uniform_n80_tol0.049,27,29,0.3375,0.3625,0.024999999999999967,0.049
uniform_n80_tol0.049,27,30,0.3375,0.375,0.03749999999999998,0.049
uniform_n80_tol0.049,28,29,0.35,0.3625,0.012500000000000011,0.049
uniform_n80_tol0.049,28,30,0.35,0.375,0.025000000000000022,0.049
uniform_n80_tol0.049,28,31,0.35,0.3875,0.03750000000000003,0.049
uniform_n80_tol0.049,29,30,0.3625,0.375,0.012500000000000011,0.049
uniform_n80_tol0.049,29,31,0.3625,0.3875,0.025000000000000022,0.049
uniform_n80_tol0.049,29,32,0.3625,0.4,0.03750000000000003,0.049
uniform_n80_tol0.049,30,31,0.375,0.3875,0.012500000000000011,0.049
uniform_n80_tol0.049,30,32,0.375,0.4,0.025000000000000022,0.049
uniform_n80_tol0.049,30,33,0.375,0.4125,0.03749999999999998,0.049
uniform_n80_tol0.049,31,32,0.3875,0.4,0.012500000000000011,0.049
uniform_n80_tol0.049,31,33,0.3875,0.4125,0.024999999999999967,0.049
uniform_n80_tol0.049,31,34,0.3875,0.425,0.03749999999999998,0.049
uniform_n80_tol0.049,32,33,0.4,0.4125,0.012499999999999956,0.049
uniform_n80_tol0.049,32,34,0.4,0.425,0.024999999999999967,0.049
uniform_n80_tol0.049,32,35,0.4,0.4375,0.03749999999999998,0.049
uniform_n80_tol0.049,33,34,0.4125,0.425,0.012500000000000011,0.049
uniform_n80_tol0.049,33,35,0.4125,0.4375,0.025000000000000022,0.049
uniform_n80_tol0.049,33,36,0.4125,0.45,0.03750000000000003,0.049
uniform_n80_tol0.049,34,35,0.425,0.4375,0.012500000000000011,0.049
uniform_n80_tol0.049,34,36,0.425,0.45,0.025000000000000022,0.049
uniform_n80_tol0.049,34,37,0.425,0.4625,0.03750000000000003,0.049
uniform_n80_tol0.049,35,36,0.4375,0.45,0.012500000000000011,0.049
uniform_n80_tol0.049,35,37,0.4375,0.4625,0.025000000000000022,0.049
uniform_n80_tol0.049,35,38,0.4375,0.475,0.03749999999999998,0.049
uniform_n80_tol0.049,36,37,0.45,0.4625,0.012500000000000011,0.049
uniform_n80_tol0.049,36,38,0.45,0.475,0.024999999999999967,0.049
uniform_n80_tol0.049,36,39,0.45,0.4875,0.03749999999999998,0.049
uniform_n80_tol0.049,37,38,0.4625,0.475,0.012499999999999956,0.049
uniform_n80_tol0.049,37,39,0.4625,0.4875,0.024999999999999967,0.049
