seed,run_a,run_b,order_a,order_b,token,input_value,step_a,step_b,belief_before_a,belief_before_b,accepted_a,accepted_b,gap_a,gap_b
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,113,0.0,114,75,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,114,0.0,115,76,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,115,0.0,116,77,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,116,0.0,117,78,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,117,0.0,118,79,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,118,0.0,119,80,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_ascending_seed7,descending,ascending,119,0.0,120,81,0.0,1.0,True,False,0.0,1.0
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,39,0.0,40,2,0.02499999999999991,0.975,True,False,0.02499999999999991,0.975
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,40,0.0,41,4,0.0,0.95,True,False,0.0,0.95
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,41,0.0,42,6,0.0,0.925,True,False,0.0,0.925
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,42,0.0,43,8,0.0,0.9,True,False,0.0,0.9
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,43,0.0,44,10,0.0,0.875,True,False,0.0,0.875
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,44,0.0,45,12,0.0,0.85,True,False,0.0,0.85
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,45,0.0,46,14,0.0,0.825,True,False,0.0,0.825
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,46,0.0,47,16,0.0,0.8,True,False,0.0,0.8
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,47,0.0,48,18,0.0,0.775,True,False,0.0,0.775
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,48,0.0,49,20,0.0,0.75,True,False,0.0,0.75
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,49,0.0,50,22,0.0,0.725,True,False,0.0,0.725
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,50,0.0,51,24,0.0,0.7,True,False,0.0,0.7
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,51,0.0,52,26,0.0,0.675,True,False,0.0,0.675
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,52,0.0,53,28,0.0,0.6499999999999999,True,False,0.0,0.6499999999999999
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,53,0.0,54,30,0.0,0.625,True,False,0.0,0.625
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,54,0.0,55,32,0.0,0.6,True,False,0.0,0.6
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,55,0.0,56,34,0.0,0.575,True,False,0.0,0.575
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,56,0.0,57,36,0.0,0.55,True,False,0.0,0.55
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,57,0.0,58,38,0.0,0.5249999999999999,True,False,0.0,0.5249999999999999
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,58,0.0,59,40,0.0,0.5,True,False,0.0,0.5
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,59,0.0,60,42,0.0,0.475,True,False,0.0,0.475
7,control_E_gradual_seed7,order_alternating_seed7,descending,alternating,60,0.0,61,44,0.0,0.44999999999999996,True,False,0.0,0.44999999999999996
