graph_id,tol,step,belief_before,input_value,accepted,belief_after
uniform_n40_tol0.049,0.049,33,0.2,0.175,True,0.175
uniform_n40_tol0.049,0.049,34,0.175,0.15,True,0.15
uniform_n40_tol0.049,0.049,35,0.15,0.125,True,0.125
uniform_n40_tol0.049,0.049,36,0.125,0.1,True,0.1
uniform_n40_tol0.049,0.049,37,0.1,0.075,True,0.075
uniform_n40_tol0.049,0.049,38,0.075,0.05,True,0.05
uniform_n40_tol0.049,0.049,39,0.05,0.025,True,0.025
uniform_n40_tol0.049,0.049,40,0.025,0.0,True,0.0
uniform_n40_tol0.05,0.05,1,1.0,0.975,True,0.975
uniform_n40_tol0.05,0.05,2,0.975,0.925,True,0.925
uniform_n40_tol0.05,0.05,3,0.925,0.9,True,0.9
uniform_n40_tol0.05,0.05,4,0.9,0.875,True,0.875
uniform_n40_tol0.05,0.05,5,0.875,0.85,True,0.85
uniform_n40_tol0.05,0.05,6,0.85,0.8,True,0.8
uniform_n40_tol0.05,0.05,7,0.8,0.775,True,0.775
uniform_n40_tol0.05,0.05,8,0.775,0.75,True,0.75
uniform_n40_tol0.05,0.05,9,0.75,0.725,True,0.725
uniform_n40_tol0.05,0.05,10,0.725,0.675,True,0.675
uniform_n40_tol0.05,0.05,11,0.675,0.65,True,0.65
uniform_n40_tol0.05,0.05,12,0.65,0.625,True,0.625
uniform_n40_tol0.05,0.05,13,0.625,0.6,True,0.6
uniform_n40_tol0.05,0.05,14,0.6,0.55,True,0.55
uniform_n40_tol0.05,0.05,15,0.55,0.525,True,0.525
uniform_n40_tol0.05,0.05,16,0.525,0.5,True,0.5
uniform_n40_tol0.05,0.05,17,0.5,0.45,True,0.45
uniform_n40_tol0.05,0.05,18,0.45,0.4,True,0.4
uniform_n40_tol0.05,0.05,19,0.4,0.375,True,0.375
uniform_n40_tol0.05,0.05,20,0.375,0.325,True,0.325
uniform_n40_tol0.05,0.05,21,0.325,0.275,True,0.275
uniform_n40_tol0.05,0.05,22,0.275,0.25,True,0.25
uniform_n40_tol0.05,0.05,23,0.25,0.2,True,0.2
uniform_n40_tol0.05,0.05,24,0.2,0.175,True,0.175
