run_id,regime,seed,strength,frequency,classification,C_baseline_last20,C_early20,C_final20,C_early20_vector
stationary_7_grid_S0.58_F4,stationary,7,0.58,4,C_rejection,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.58_F8,stationary,7,0.58,8,C_rejection,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.58_F16,stationary,7,0.58,16,C_rejection,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.59_F1,stationary,7,0.59,1,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.59_F2,stationary,7,0.59,2,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.59_F3,stationary,7,0.59,3,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.59_F4,stationary,7,0.59,4,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.59_F8,stationary,7,0.59,8,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.59_F16,stationary,7,0.59,16,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.6_F1,stationary,7,0.6,1,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.6_F2,stationary,7,0.6,2,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.6_F3,stationary,7,0.6,3,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.6_F4,stationary,7,0.6,4,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.6_F8,stationary,7,0.6,8,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.6_F16,stationary,7,0.6,16,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.7_F1,stationary,7,0.7,1,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.7_F2,stationary,7,0.7,2,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.7_F3,stationary,7,0.7,3,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.7_F4,stationary,7,0.7,4,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.7_F8,stationary,7,0.7,8,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.7_F16,stationary,7,0.7,16,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.75_F1,stationary,7,0.75,1,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.75_F2,stationary,7,0.75,2,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.75_F3,stationary,7,0.75,3,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.75_F4,stationary,7,0.75,4,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.75_F8,stationary,7,0.75,8,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.75_F16,stationary,7,0.75,16,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.8_F1,stationary,7,0.8,1,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.8_F2,stationary,7,0.8,2,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.8_F3,stationary,7,0.8,3,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.8_F4,stationary,7,0.8,4,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.8_F8,stationary,7,0.8,8,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.8_F16,stationary,7,0.8,16,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
stationary_7_grid_S0.9_F1,stationary,7,0.9,1,A_genuine_revision_candidate,0.9985150775664399,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
