run_id,regime,seed,baseline_steps,phase,probe,returned_belief,passed
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,34,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,35,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,35,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,35,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,36,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,36,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,36,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,37,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,37,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,37,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,38,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,38,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,38,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,39,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,39,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,39,0.025,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,0,0,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,0,0.0125,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,0,0.025,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,1,0,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,1,0.0125,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,1,0.025,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,2,0,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,2,0.0125,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,2,0.025,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,3,0,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,3,0.0125,0.0,True
descending_bridge_7_T1_single_0.25,descending_bridge,7,120,3,0.025,0.0,True
